tx_id,gene_id,gene_name,gene_biotype
YBR035C_mRNA,YBR035C,PDX3,protein_coding
YBR036C_mRNA,YBR036C,CSG2,protein_coding
YBR037C_mRNA,YBR037C,SCO1,protein_coding
YBR038W_mRNA,YBR038W,CHS2,protein_coding
YBR039W_mRNA,YBR039W,ATP3,protein_coding
YBR040W_mRNA,YBR040W,FIG1,protein_coding
YBR041W_mRNA,YBR041W,FAT1,protein_coding
YBR042C_mRNA,YBR042C,CST26,protein_coding
YBR043C_mRNA,YBR043C,QDR3,protein_coding
YBR044C_mRNA,YBR044C,TCM62,protein_coding
YBR045C_mRNA,YBR045C,GIP1,protein_coding
YBR046C_mRNA,YBR046C,ZTA1,protein_coding
YBR047W_mRNA,YBR047W,FMP23,protein_coding
YBR048W_mRNA,YBR048W,RPS11B,protein_coding
YBR049C_mRNA,YBR049C,REB1,protein_coding
YBR050C_mRNA,YBR050C,REG2,protein_coding
YBR051W_mRNA,YBR051W,,protein_coding
YBR052C_mRNA,YBR052C,RFS1,protein_coding
YBR053C_mRNA,YBR053C,,protein_coding
YBR054W_mRNA,YBR054W,YRO2,protein_coding
YBR055C_mRNA,YBR055C,PRP6,protein_coding
YBR056C-B_mRNA,YBR056C-B,,protein_coding
YBR056W-A_mRNA,YBR056W-A,,protein_coding
YBR056W_mRNA,YBR056W,,protein_coding
YBR057C_mRNA,YBR057C,MUM2,protein_coding
YBR058C-A_mRNA,YBR058C-A,TSC3,protein_coding
YBR058C_mRNA,YBR058C,UBP14,protein_coding
YBR059C_mRNA,YBR059C,AKL1,protein_coding
YBR060C_mRNA,YBR060C,ORC2,protein_coding
YBR061C_mRNA,YBR061C,TRM7,protein_coding
YBR062C_mRNA,YBR062C,,protein_coding
YBR063C_mRNA,YBR063C,,protein_coding
YBR064W_mRNA,YBR064W,,protein_coding
YBR065C_mRNA,YBR065C,ECM2,protein_coding
YBR066C_mRNA,YBR066C,NRG2,protein_coding
YBR067C_mRNA,YBR067C,TIP1,protein_coding
YBR068C_mRNA,YBR068C,BAP2,protein_coding
YBR069C_mRNA,YBR069C,TAT1,protein_coding
YBR070C_mRNA,YBR070C,ALG14,protein_coding
YBR071W_mRNA,YBR071W,,protein_coding
YBR072C-A_mRNA,YBR072C-A,,protein_coding
YBR072W_mRNA,YBR072W,HSP26,protein_coding
YBR073W_mRNA,YBR073W,RDH54,protein_coding
YBR074W_mRNA,YBR074W,,protein_coding
YBR076C-A_mRNA,YBR076C-A,,protein_coding
YBR076W_mRNA,YBR076W,ECM8,protein_coding
YBR077C_mRNA,YBR077C,SLM4,protein_coding
YBR078W_mRNA,YBR078W,ECM33,protein_coding
YBR079C_mRNA,YBR079C,RPG1,protein_coding
YBR080C_mRNA,YBR080C,SEC18,protein_coding
YBR081C_mRNA,YBR081C,SPT7,protein_coding
YBR082C_mRNA,YBR082C,UBC4,protein_coding
YBR083W_mRNA,YBR083W,TEC1,protein_coding
YBR084C-A_mRNA,YBR084C-A,RPL19A,protein_coding
YBR084W_mRNA,YBR084W,MIS1,protein_coding
YBR085C-A_mRNA,YBR085C-A,,protein_coding
YBR085W_mRNA,YBR085W,AAC3,protein_coding
YBR086C_mRNA,YBR086C,IST2,protein_coding
YBR087W_mRNA,YBR087W,RFC5,protein_coding
YBR088C_mRNA,YBR088C,POL30,protein_coding
YBR089C-A_mRNA,YBR089C-A,NHP6B,protein_coding
YBR089W_mRNA,YBR089W,,protein_coding
YBR090C_mRNA,YBR090C,,protein_coding
YBR091C_mRNA,YBR091C,TIM12,protein_coding
YBR092C_mRNA,YBR092C,PHO3,protein_coding
YBR093C_mRNA,YBR093C,PHO5,protein_coding
YBR094W_mRNA,YBR094W,PBY1,protein_coding
YBR095C_mRNA,YBR095C,RXT2,protein_coding
YBR096W_mRNA,YBR096W,,protein_coding
YBR097W_mRNA,YBR097W,VPS15,protein_coding
YBR098W_mRNA,YBR098W,MMS4,protein_coding
YBR099C_mRNA,YBR099C,,protein_coding
YBR101C_mRNA,YBR101C,FES1,protein_coding
YBR102C_mRNA,YBR102C,EXO84,protein_coding
YBR103C-A_mRNA,YBR103C-A,,protein_coding
YBR103W_mRNA,YBR103W,SIF2,protein_coding
YBR104W_mRNA,YBR104W,YMC2,protein_coding
YBR105C_mRNA,YBR105C,VID24,protein_coding
YBR106W_mRNA,YBR106W,PHO88,protein_coding
YBR107C_mRNA,YBR107C,IML3,protein_coding
YBR108W_mRNA,YBR108W,AIM3,protein_coding
YBR109C_mRNA,YBR109C,CMD1,protein_coding
YBR109W-A_mRNA,YBR109W-A,,protein_coding
YBR110W_mRNA,YBR110W,ALG1,protein_coding
YBR111C_mRNA,YBR111C,YSA1,protein_coding
YBR111W-A_mRNA,YBR111W-A,SUS1,protein_coding
YBR112C_mRNA,YBR112C,CYC8,protein_coding
YBR113W_mRNA,YBR113W,,protein_coding
YBR114W_mRNA,YBR114W,RAD16,protein_coding
YBR115C_mRNA,YBR115C,LYS2,protein_coding
YBR116C_mRNA,YBR116C,,protein_coding
YBR117C_mRNA,YBR117C,TKL2,protein_coding
YBR118W_mRNA,YBR118W,TEF2,protein_coding
YBR119W_mRNA,YBR119W,MUD1,protein_coding
YBR120C_mRNA,YBR120C,CBP6,protein_coding
YBR121C-A_mRNA,YBR121C-A,,protein_coding
YBR121C_mRNA,YBR121C,GRS1,protein_coding
YBR122C_mRNA,YBR122C,MRPL36,protein_coding
YBR123C_mRNA,YBR123C,TFC1,protein_coding
YBR124W_mRNA,YBR124W,,protein_coding
YBR125C_mRNA,YBR125C,PTC4,protein_coding
YBR126C_mRNA,YBR126C,TPS1,protein_coding
YBR126W-A_mRNA,YBR126W-A,MEO1,protein_coding
YBR126W-B_mRNA,YBR126W-B,,protein_coding
YBR127C_mRNA,YBR127C,VMA2,protein_coding
YBR128C_mRNA,YBR128C,ATG14,protein_coding
YBR129C_mRNA,YBR129C,OPY1,protein_coding
YBR130C_mRNA,YBR130C,SHE3,protein_coding
YBR131C-A_mRNA,YBR131C-A,,protein_coding
YBR131W_mRNA,YBR131W,CCZ1,protein_coding
YBR132C_mRNA,YBR132C,AGP2,protein_coding
YBR133C_mRNA,YBR133C,HSL7,protein_coding
YBR134W_mRNA,YBR134W,,protein_coding
YBR135W_mRNA,YBR135W,CKS1,protein_coding
YBR136W_mRNA,YBR136W,MEC1,protein_coding
YBR137W_mRNA,YBR137W,,protein_coding
YBR138C_mRNA,YBR138C,,protein_coding
YBR139W_mRNA,YBR139W,,protein_coding
YBR140C_mRNA,YBR140C,IRA1,protein_coding
YBR141C_mRNA,YBR141C,BMT2,protein_coding
YBR141W-A_mRNA,YBR141W-A,,protein_coding
YBR142W_mRNA,YBR142W,MAK5,protein_coding
YBR143C_mRNA,YBR143C,SUP45,protein_coding
YBR144C_mRNA,YBR144C,,protein_coding
YBR145W_mRNA,YBR145W,ADH5,protein_coding
YBR146W_mRNA,YBR146W,MRPS9,protein_coding
YBR147W_mRNA,YBR147W,RTC2,protein_coding
YBR148W_mRNA,YBR148W,YSW1,protein_coding
YBR149W_mRNA,YBR149W,ARA1,protein_coding
YBR150C_mRNA,YBR150C,TBS1,protein_coding
YBR151W_mRNA,YBR151W,APD1,protein_coding
YBR152W_mRNA,YBR152W,SPP381,protein_coding
YBR153W_mRNA,YBR153W,RIB7,protein_coding
YBR154C_mRNA,YBR154C,RPB5,protein_coding
YBR155W_mRNA,YBR155W,CNS1,protein_coding
YBR156C_mRNA,YBR156C,SLI15,protein_coding
YBR157C_mRNA,YBR157C,ICS2,protein_coding
YBR158W_mRNA,YBR158W,AMN1,protein_coding
YBR159W_mRNA,YBR159W,IFA38,protein_coding
YBR160W_mRNA,YBR160W,CDC28,protein_coding
YBR161W_mRNA,YBR161W,CSH1,protein_coding
YBR162C_mRNA,YBR162C,TOS1,protein_coding
YBR162W-A_mRNA,YBR162W-A,YSY6,protein_coding
YBR163W_mRNA,YBR163W,EXO5,protein_coding
YBR164C_mRNA,YBR164C,ARL1,protein_coding
YBR165W_mRNA,YBR165W,UBS1,protein_coding
YBR166C_mRNA,YBR166C,TYR1,protein_coding
YBR167C_mRNA,YBR167C,POP7,protein_coding
YBR168W_mRNA,YBR168W,PEX32,protein_coding
YBR169C_mRNA,YBR169C,SSE2,protein_coding
YBR170C_mRNA,YBR170C,NPL4,protein_coding
YBR171W_mRNA,YBR171W,SEC66,protein_coding
YBR172C_mRNA,YBR172C,SMY2,protein_coding
YBR173C_mRNA,YBR173C,UMP1,protein_coding
YBR174C_mRNA,YBR174C,,protein_coding
YBR175W_mRNA,YBR175W,SWD3,protein_coding
YBR176W_mRNA,YBR176W,ECM31,protein_coding
YBR177C_mRNA,YBR177C,EHT1,protein_coding
YBR178W_mRNA,YBR178W,,protein_coding
