tx_id,gene_id,gene_name,gene_biotype
FBtr0303845,FBgn0026059,Mhcl,protein_coding
FBtr0074258,FBgn0030724,Nipsnap,protein_coding
FBtr0074257,FBgn0030724,Nipsnap,protein_coding
FBtr0343595,FBgn0030724,Nipsnap,protein_coding
FBtr0074259,FBgn0030724,Nipsnap,protein_coding
FBtr0343730,FBgn0266164,lncRNA:CR44870,ncRNA
FBtr0475267,FBgn0005536,Mbs,protein_coding
FBtr0475266,FBgn0005536,Mbs,protein_coding
FBtr0075441,FBgn0005536,Mbs,protein_coding
FBtr0475268,FBgn0005536,Mbs,protein_coding
FBtr0475269,FBgn0005536,Mbs,protein_coding
FBtr0112850,FBgn0005536,Mbs,protein_coding
FBtr0301652,FBgn0028397,Tob,protein_coding
FBtr0310446,FBgn0028397,Tob,protein_coding
FBtr0308761,FBgn0263334,lncRNA:CR43415,ncRNA
FBtr0308762,FBgn0263334,lncRNA:CR43415,ncRNA
FBtr0083234,FBgn0052855,CG32855,protein_coding
FBtr0310317,FBgn0028397,Tob,protein_coding
FBtr0074255,FBgn0028397,Tob,protein_coding
FBtr0309580,FBgn0263516,mir-4958,pre_miRNA
FBtr0306238,FBgn0034072,Dg,protein_coding
FBtr0087257,FBgn0034072,Dg,protein_coding
FBtr0087256,FBgn0034072,Dg,protein_coding
FBtr0087258,FBgn0034072,Dg,protein_coding
FBtr0301030,FBgn0053258,CG33258,protein_coding
FBtr0346790,FBgn0053258,CG33258,protein_coding
FBtr0074207,FBgn0030725,CG8958,protein_coding
FBtr0345306,FBgn0038398,sxe2,protein_coding
FBtr0301031,FBgn0036563,CG13075,protein_coding
FBtr0333600,FBgn0263602,Tasp1,protein_coding
FBtr0083225,FBgn0038398,sxe2,protein_coding
FBtr0075498,FBgn0263602,Tasp1,protein_coding
FBtr0075497,FBgn0036565,CG5235,protein_coding
FBtr0333599,FBgn0036565,CG5235,protein_coding
FBtr0333598,FBgn0036566,ClC-c,protein_coding
FBtr0302503,FBgn0036566,ClC-c,protein_coding
FBtr0075444,FBgn0036566,ClC-c,protein_coding
FBtr0299952,FBgn0259699,CG42353,protein_coding
FBtr0299953,FBgn0259699,CG42353,protein_coding
FBtr0310314,FBgn0259700,CG42354,protein_coding
FBtr0299949,FBgn0259700,CG42354,protein_coding
FBtr0299951,FBgn0259700,CG42354,protein_coding
