tx_id,gene_id,gene_name,gene_biotype
ENSXETT00000001607,ENSXETG00000000719,L1CAM,protein_coding
ENSXETT00000001609,ENSXETG00000048100,NACC2,protein_coding
ENSXETT00000001611,ENSXETG00000000724,hoxa9,protein_coding
ENSXETT00000001614,ENSXETG00000000725,PDZD4,protein_coding
ENSXETT00000001617,ENSXETG00000000730,SSR4,protein_coding
ENSXETT00000001618,ENSXETG00000000728,hoxa10,protein_coding
ENSXETT00000001620,ENSXETG00000000729,QSOX2,protein_coding
ENSXETT00000001624,ENSXETG00000000731,IDH3G,protein_coding
ENSXETT00000001625,ENSXETG00000000731,IDH3G,protein_coding
ENSXETT00000001634,ENSXETG00000000735,SRPK3,protein_coding
ENSXETT00000001635,ENSXETG00000000733,GPSM1,protein_coding
ENSXETT00000001643,ENSXETG00000000740,CARD9,protein_coding
ENSXETT00000001647,ENSXETG00000000742,LMX1B,protein_coding
ENSXETT00000001650,ENSXETG00000000745,mvb12b,protein_coding
ENSXETT00000001651,ENSXETG00000000743,SNAPC4,protein_coding
ENSXETT00000001653,ENSXETG00000000747,ENTR1,protein_coding
ENSXETT00000001656,ENSXETG00000000748,PMPCA,protein_coding
ENSXETT00000001657,ENSXETG00000000750,HIBADH,protein_coding
ENSXETT00000001664,ENSXETG00000000752,TAX1BP1,protein_coding
ENSXETT00000001665,ENSXETG00000000754,JAZF1,protein_coding
ENSXETT00000001672,ENSXETG00000000758,PCSK5,protein_coding
ENSXETT00000001673,ENSXETG00000000759,RFK,protein_coding
ENSXETT00000001674,ENSXETG00000000760,GCNT1,protein_coding
ENSXETT00000001676,ENSXETG00000000757,NOTCH1,protein_coding
ENSXETT00000001685,ENSXETG00000000762,EGFL7,protein_coding
ENSXETT00000001690,ENSXETG00000004683,XB5767169 [provisional],protein_coding
ENSXETT00000001716,ENSXETG00000000775,clstn1,protein_coding
ENSXETT00000001722,ENSXETG00000000776,snx5,protein_coding
ENSXETT00000001733,ENSXETG00000000777,RRBP1,protein_coding
ENSXETT00000001735,ENSXETG00000000782,anapc1,protein_coding
ENSXETT00000001739,ENSXETG00000000783,sec23b,protein_coding
ENSXETT00000001741,ENSXETG00000036106,plekhg3,protein_coding
ENSXETT00000001748,ENSXETG00000000784,hebp2,protein_coding
ENSXETT00000001750,ENSXETG00000000786,dusp12,protein_coding
ENSXETT00000001758,ENSXETG00000000790,DTD1,protein_coding
ENSXETT00000001767,ENSXETG00000000794,KLHL32,protein_coding
ENSXETT00000001771,ENSXETG00000000793,SLC24A3,protein_coding
ENSXETT00000001774,ENSXETG00000033301,SLC24A1,protein_coding
ENSXETT00000001776,ENSXETG00000000796,MMS22L,protein_coding
ENSXETT00000001778,ENSXETG00000000797,FAXC,protein_coding
ENSXETT00000001779,ENSXETG00000000799,COQ3,protein_coding
ENSXETT00000001781,ENSXETG00000000800,pnisr,protein_coding
ENSXETT00000001783,ENSXETG00000000802,ROR2,protein_coding
ENSXETT00000001789,ENSXETG00000000804,NFIL3,protein_coding
ENSXETT00000001790,ENSXETG00000000805,AUH,protein_coding
ENSXETT00000001796,ENSXETG00000000807,SYK,protein_coding
ENSXETT00000001859,ENSXETG00000000835,NFIB,protein_coding
ENSXETT00000001863,ENSXETG00000000839,NIFK,protein_coding
ENSXETT00000001864,ENSXETG00000000836,stat5b,protein_coding
