tx_id,gene_id,gene_name,gene_biotype
ENSDART00000003550,ENSDARG00000004580,NMNAT2,protein_coding
ENSDART00000003583,ENSDARG00000008720,LMO3,protein_coding
ENSDART00000003621,ENSDARG00000017163,sinup,protein_coding
ENSDART00000003634,ENSDARG00000017809,STARD3,protein_coding
ENSDART00000003646,ENSDARG00000014358,optc,protein_coding
ENSDART00000003648,ENSDARG00000011079,WDR3,protein_coding
ENSDART00000003665,ENSDARG00000005485,UCMA,protein_coding
ENSDART00000003670,ENSDARG00000038694,zgc:101744,protein_coding
ENSDART00000003674,ENSDARG00000005948,ANKMY2,protein_coding
ENSDART00000003690,ENSDARG00000035891,acana,protein_coding
ENSDART00000003694,ENSDARG00000017841,cand1,protein_coding
ENSDART00000003701,ENSDARG00000004105,TIE1,protein_coding
ENSDART00000003706,ENSDARG00000009160,KMO,protein_coding
ENSDART00000003712,ENSDARG00000016918,ACE2,protein_coding
ENSDART00000003715,ENSDARG00000021370,ACTR6,protein_coding
ENSDART00000003716,ENSDARG00000055644,prss60.2,protein_coding
ENSDART00000003736,ENSDARG00000004932,anos1b,protein_coding
ENSDART00000003745,ENSDARG00000010008,VIM,protein_coding
ENSDART00000003748,ENSDARG00000018281,cfap161,protein_coding
ENSDART00000003752,ENSDARG00000016173,CCT3,protein_coding
ENSDART00000003789,ENSDARG00000018285,PDPK1,protein_coding
ENSDART00000003790,ENSDARG00000015921,PWP1,protein_coding
ENSDART00000003805,ENSDARG00000018418,pth3r,protein_coding
ENSDART00000003825,ENSDARG00000018997,cplx2a,protein_coding
ENSDART00000003826,ENSDARG00000005482,RAPGEF2,protein_coding
ENSDART00000003834,ENSDARG00000013705,CCM2,protein_coding
ENSDART00000003839,ENSDARG00000019233,NLN,protein_coding
ENSDART00000003845,ENSDARG00000016771,tfa,protein_coding
ENSDART00000003847,ENSDARG00000002589,MYL11,protein_coding
ENSDART00000003879,ENSDARG00000009982,FAM199X,protein_coding
ENSDART00000003884,ENSDARG00000007271,mynn,protein_coding
ENSDART00000003888,ENSDARG00000003827,snapc1b,protein_coding
ENSDART00000003891,ENSDARG00000070787,JUP,protein_coding
ENSDART00000003895,ENSDARG00000016994,SSRP1,protein_coding
ENSDART00000003907,ENSDARG00000067828,olfce1,protein_coding
ENSDART00000003913,ENSDARG00000018553,IFIH1,protein_coding
ENSDART00000003922,ENSDARG00000021991,ERLIN1,protein_coding
ENSDART00000003926,ENSDARG00000021366,fbp1a,protein_coding
ENSDART00000003929,ENSDARG00000018524,MIDN,protein_coding
ENSDART00000003932,ENSDARG00000026294,ERBB2,protein_coding
ENSDART00000003939,ENSDARG00000002564,SYNGR1,protein_coding
ENSDART00000003940,ENSDARG00000020261,RAB2A,protein_coding
ENSDART00000003946,ENSDARG00000019033,TMEM59,protein_coding
ENSDART00000003947,ENSDARG00000004830,FLOT2,protein_coding
ENSDART00000003954,ENSDARG00000018530,mapkapk2b,protein_coding
ENSDART00000003957,ENSDARG00000026476,tia1l,protein_coding
ENSDART00000003962,ENSDARG00000007217,WDR55,protein_coding
ENSDART00000003978,ENSDARG00000012932,MAT2B,protein_coding
ENSDART00000003983,ENSDARG00000010238,RBM22,protein_coding
ENSDART00000003993,ENSDARG00000017565,ITK,protein_coding
ENSDART00000003997,ENSDARG00000007842,MCHR2,protein_coding
ENSDART00000003998,ENSDARG00000020465,ewsr1b,protein_coding
ENSDART00000004031,ENSDARG00000020529,HACL1,protein_coding
ENSDART00000004034,ENSDARG00000018397,hpca,protein_coding
ENSDART00000004041,ENSDARG00000079934,zgc:162200,protein_coding
ENSDART00000004043,ENSDARG00000006877,ENPP4,protein_coding
ENSDART00000004052,ENSDARG00000007727,rgl2,protein_coding
ENSDART00000004062,ENSDARG00000014313,ATP5PF,protein_coding
ENSDART00000004065,ENSDARG00000021287,RAB7A,protein_coding
ENSDART00000004071,ENSDARG00000008333,znfl2a,protein_coding
ENSDART00000004075,ENSDARG00000011272,UQCC2,protein_coding
ENSDART00000004092,ENSDARG00000013659,BROX,protein_coding
ENSDART00000004108,ENSDARG00000010281,XPO4,protein_coding
ENSDART00000004109,ENSDARG00000009553,GNG3,protein_coding
ENSDART00000004120,ENSDARG00000001999,ADAMTS18,protein_coding
ENSDART00000004122,ENSDARG00000015891,PTPRE,protein_coding
ENSDART00000004129,ENSDARG00000020611,C18H19orf47,protein_coding
ENSDART00000004181,ENSDARG00000017047,SLC27A4,protein_coding
ENSDART00000004188,ENSDARG00000088870,,protein_coding
ENSDART00000004200,ENSDARG00000010610,SARM1,protein_coding
ENSDART00000004217,ENSDARG00000035598,CORO1C,protein_coding
ENSDART00000004220,ENSDARG00000045628,RAB34,protein_coding
ENSDART00000004222,ENSDARG00000015278,PLXNC1,protein_coding
ENSDART00000004233,ENSDARG00000005525,acy3.2,protein_coding
ENSDART00000004238,ENSDARG00000019230,rpl7a,protein_coding
ENSDART00000004240,ENSDARG00000070713,prss60.1,protein_coding
ENSDART00000004241,ENSDARG00000012671,INHBA,protein_coding
ENSDART00000004273,ENSDARG00000095076,si:dkey-73p2.3,protein_coding
ENSDART00000004277,ENSDARG00000036279,lamc1,protein_coding
ENSDART00000004284,ENSDARG00000003027,SCNM1,protein_coding
ENSDART00000004286,ENSDARG00000009196,ANXA3,protein_coding
ENSDART00000004288,ENSDARG00000007444,IFT81,protein_coding
ENSDART00000004295,ENSDARG00000017657,zgc:112163,protein_coding
ENSDART00000004333,ENSDARG00000002582,TBX15,protein_coding
ENSDART00000004338,ENSDARG00000010767,EPHA4,protein_coding
ENSDART00000004357,ENSDARG00000077405,psip1b,protein_coding
ENSDART00000004361,ENSDARG00000015506,KLF5,protein_coding
ENSDART00000004365,ENSDARG00000003769,TADA2B,protein_coding
ENSDART00000004379,ENSDARG00000020077,NOL10,protein_coding
ENSDART00000004389,ENSDARG00000021186,PTH2R,protein_coding
ENSDART00000004392,ENSDARG00000005023,FKBP9,protein_coding
ENSDART00000004398,ENSDARG00000018562,COPE,protein_coding
ENSDART00000004420,ENSDARG00000019144,RAB4A,protein_coding
ENSDART00000004423,ENSDARG00000007955,IARS1,protein_coding
ENSDART00000004424,ENSDARG00000016763,znf292a,protein_coding
ENSDART00000004431,ENSDARG00000019917,epb41l3b,protein_coding
ENSDART00000004462,ENSDARG00000018441,heg1,protein_coding
ENSDART00000004474,ENSDARG00000002659,mapre1b,protein_coding
ENSDART00000004476,ENSDARG00000012446,helz2c,protein_coding
ENSDART00000004483,ENSDARG00000003968,larp6b,protein_coding
ENSDART00000004504,ENSDARG00000016153,DAG1,protein_coding
ENSDART00000004514,ENSDARG00000034885,bet1,protein_coding
ENSDART00000004518,ENSDARG00000033056,zgc:171927,protein_coding
ENSDART00000004521,ENSDARG00000012848,ARIH2,protein_coding
ENSDART00000004533,ENSDARG00000007480,RPE65,protein_coding
ENSDART00000004539,ENSDARG00000027141,ube2l3b,protein_coding
ENSDART00000004548,ENSDARG00000019013,BARHL1,protein_coding
ENSDART00000004550,ENSDARG00000002609,RNF145,protein_coding
ENSDART00000004585,ENSDARG00000021048,CLPTM1L,protein_coding
ENSDART00000004588,ENSDARG00000008329,ASIC1,protein_coding
ENSDART00000004601,ENSDARG00000006397,LAPTM4A,protein_coding
ENSDART00000004604,ENSDARG00000004386,ELAPOR2,protein_coding
ENSDART00000004622,ENSDARG00000018574,SF3B4,protein_coding
ENSDART00000004625,ENSDARG00000019706,ZAR1,protein_coding
ENSDART00000004626,ENSDARG00000019951,SEC62,protein_coding
ENSDART00000004655,ENSDARG00000017659,SEPHS2,protein_coding
ENSDART00000004656,ENSDARG00000020187,GCA,protein_coding
ENSDART00000004664,ENSDARG00000019137,TRAM1,protein_coding
ENSDART00000004678,ENSDARG00000090564,PDZD4,protein_coding
ENSDART00000004679,ENSDARG00000009978,icn,protein_coding
ENSDART00000004686,ENSDARG00000003022,limk1b,protein_coding
ENSDART00000004689,ENSDARG00000073905,vwa5a,protein_coding
ENSDART00000004692,ENSDARG00000003795,IDH2,protein_coding
ENSDART00000004712,ENSDARG00000011998,BFSP2,protein_coding
ENSDART00000004716,ENSDARG00000019763,ACP5,protein_coding
ENSDART00000004717,ENSDARG00000094132,IGF1,protein_coding
ENSDART00000004727,ENSDARG00000007080,RHCG,protein_coding
ENSDART00000004739,ENSDARG00000017454,NUP50,protein_coding
ENSDART00000004740,ENSDARG00000010977,rab34b,protein_coding
ENSDART00000004742,ENSDARG00000020028,CPS1,protein_coding
ENSDART00000004745,ENSDARG00000012796,HNMT,protein_coding
ENSDART00000004751,ENSDARG00000019717,pbx2,protein_coding
ENSDART00000004756,ENSDARG00000010478,hsp90aa1.1,protein_coding
ENSDART00000004769,ENSDARG00000009214,MFSD13A,protein_coding
ENSDART00000004771,ENSDARG00000021110,poc1b,protein_coding
ENSDART00000004780,ENSDARG00000001897,MAN2B1,protein_coding
ENSDART00000004782,ENSDARG00000012495,MPHOSPH10,protein_coding
ENSDART00000004797,ENSDARG00000023645,KYAT1,protein_coding
ENSDART00000004812,ENSDARG00000092947,cyt1,protein_coding
ENSDART00000004816,ENSDARG00000056490,zgc:110158,protein_coding
ENSDART00000004842,ENSDARG00000009844,DUSP23,protein_coding
ENSDART00000004848,ENSDARG00000005218,WRNIP1,protein_coding
ENSDART00000004871,ENSDARG00000006174,LRRC23,protein_coding
ENSDART00000004879,ENSDARG00000003570,HSP90B1,protein_coding
ENSDART00000004896,ENSDARG00000031770,KAT7,protein_coding
ENSDART00000004899,ENSDARG00000012140,ccnl1b,protein_coding
ENSDART00000004903,ENSDARG00000012369,RDH10,protein_coding
ENSDART00000004920,ENSDARG00000019941,SGTA,protein_coding
ENSDART00000004923,ENSDARG00000016086,SMURF1,protein_coding
ENSDART00000004964,ENSDARG00000010250,NQO1,protein_coding
ENSDART00000004984,ENSDARG00000009689,DAAM1,protein_coding
ENSDART00000005004,ENSDARG00000052721,PRIM2,protein_coding
ENSDART00000005015,ENSDARG00000011932,ZMYND8,protein_coding
ENSDART00000005021,ENSDARG00000006019,TKTL2,protein_coding
ENSDART00000005025,ENSDARG00000004392,hdr,protein_coding
ENSDART00000005033,ENSDARG00000008811,CMTM3,protein_coding
ENSDART00000005053,ENSDARG00000014378,SLC12A4,protein_coding
ENSDART00000005067,ENSDARG00000003398,RBPJ,protein_coding
ENSDART00000005086,ENSDARG00000019856,ATP1A1,protein_coding
ENSDART00000005090,ENSDARG00000012840,ALG9,protein_coding
ENSDART00000005105,ENSDARG00000002165,PSME1,protein_coding
